name,barcode,price,weight,category,date
Long Life Full Cream Milk 6 x 1 L,6009171091446,109.99,6.0,Pantry,29-05-2023
Long Life Low Fat Milk 6 x 1 L,6009171091460,109.99,6.0,Pantry,29-05-2023
Light Brown Sugar 2 kg,6001009023964,45.99,2.0,Pantry,29-05-2023
Five Roses Smooth Ceylon Blend Tagless Tea Bags 102 pk,6001156230253,54.99,,Pantry,29-05-2023
White Sugar 2.5 kg,20003272,49.99,5.0,Pantry,29-05-2023
Light Meat Tuna Shredded in Brine 170 g,6009195372286,27.99,0.17,Pantry,29-05-2023
Baked Beans 410 g,20002480,14.99,0.41,Pantry,29-05-2023
Spaghetti 500 g,6009178658413,22.99,0.5,Pantry,29-05-2023
CHUCKLES® Malted Puffs in Milk Chocolate Bulk Pack 250 g,20125998,79.99,0.25,Pantry,29-05-2023
Mediterranean Extra Virgin Olive Oil 1 L,6009184388632,239.99,1.0,Pantry,29-05-2023
Macaroni 500 g,6009178658444,22.99,0.5,Pantry,29-05-2023
Jacobs Krönung Instant Coffee 200 g,7622300001568,164.99,0.2,Pantry,29-05-2023
Tomato and Onion Mix 410 g,20034702,20.99,0.41,Pantry,29-05-2023
Penne Pasta 500 g,20074555,45.99,0.5,Pantry,29-05-2023
Diced Tomatoes 400 g,20108809,28.99,0.4,Pantry,29-05-2023
Long Life Fat Free Milk 6 x 1 L,6009171091439,109.99,6.0,Pantry,29-05-2023
Peeled and Diced Tomatoes 410 g,6009101984695,20.99,0.41,Pantry,29-05-2023
Jungle Oats 1 kg,6001275000003,46.99,1.0,Pantry,29-05-2023
Tangy Mayonnaise 750 g,20130732,47.99,0.75,Pantry,29-05-2023
Chickpeas in Brine 400 g,20181673,28.99,0.4,Pantry,29-05-2023
Lucky Star Pilchards in Tomato Sauce 400 g,6001115001535,26.99,0.4,Pantry,29-05-2023
Prawn Cocktail Chips 125 g,20024277,36.99,0.12,Pantry,29-05-2023
Dry Roasted and Salted Peanuts and Raisins 450 g,6009178950210,59.99,0.45,Pantry,29-05-2023
Canola Oil 2 L,6001009029058,89.99,2.0,Pantry,29-05-2023
Breakfast Muesli 1 kg,20101671,79.99,1.0,Pantry,29-05-2023
Crosse and Blackwell Tangy Mayonnaise 750 g,6009522301262,45.99,0.75,Pantry,29-05-2023
Assorted Savoury Crackers 250 g,6009101884377,74.99,0.25,Pantry,29-05-2023
Bakers Original Blue Label Marie Biscuits 200 g,6001056453004,19.99,0.2,Pantry,29-05-2023
All Gold Tomato Sauce 700 ml,60019578,38.99,0.7,Pantry,29-05-2023
Vanilla Flavoured Custard 1 L,6009173777171,33.99,1.0,Pantry,29-05-2023
Nescafé Ricoffy Instant Coffee 750 g,6001068323500,109.99,0.75,Pantry,29-05-2023
Penne Pasta 500 g,6009189404924,22.99,0.5,Pantry,29-05-2023
Fusilli Pasta 500 g,20074579,45.99,0.5,Pantry,29-05-2023
Tastic Parboiled Rice 2 kg,6001231000191,41.99,2.0,Pantry,29-05-2023
Mango Strips 200 g,6009178983812,92.99,0.2,Pantry,29-05-2023
Mrs H.S.Ball's Original Recipe Chutney 470 g,6001092500052,40.99,0.47,Pantry,29-05-2023
Tangy Light Mayonnaise 790 g,6008000440578,47.99,0.79,Pantry,29-05-2023
Bakers Original Tennis Biscuits 200 g,6001056662000,23.99,0.2,Pantry,29-05-2023
Bakers Original Eet-Sum-Mor Biscuits 200 g,6001056201001,28.99,0.2,Pantry,29-05-2023
Hand Cooked Sea Salt Flavoured Crisps 125 g,6009184110455,23.99,0.12,Pantry,29-05-2023
Bokomo Weet-Bix Wholegrain Wheat Biscuits 450 g,6001052001018,37.99,0.45,Pantry,29-05-2023
Nescafé Gold Instant Coffee 200 g,7613033745843,152.99,0.2,Pantry,29-05-2023
Wild Blossom Honey 500 g,20086138,115.99,0.5,Pantry,29-05-2023
Hand Cooked Sour Cream and Chives Flavoured Potato Crisps 125 g,6009184110479,23.99,0.12,Pantry,29-05-2023
Bokomo Weet-Bix Wholegrain Wheat Biscuits 900 g,6001052001049,68.99,0.9,Pantry,29-05-2023
Bakers Salticrax 200 g,6001056414425,34.99,0.2,Pantry,29-05-2023
Spaghettoni 500 g,20164409,45.99,0.5,Pantry,29-05-2023
Bakers Original Red Label Lemon Cream Biscuits 200 g,6001056411004,23.99,0.2,Pantry,29-05-2023
Smooth Peanut Butter 400 g,20026660,41.99,0.4,Pantry,29-05-2023
Lemon Juice 500 ml,6001009021311,29.99,0.5,Pantry,29-05-2023
Chocolate Digestives 200 g,20118600,42.99,0.2,Pantry,29-05-2023
Nutella Nut Spread 350 g,80177173,85.99,0.35,Pantry,29-05-2023
White Sugar 1 kg,6001009023957,29.99,1.0,Pantry,29-05-2023
Hand Cooked Rosemary and Sea Salt Flavoured Potato Crisps 125 g,6009184110486,23.99,0.12,Pantry,29-05-2023
CHUCKLES® Malted Puffs in Milk Chocolate 125 g,20000967,48.99,0.12,Pantry,29-05-2023
Sunflower Oil 2 L,20123680,82.99,2.0,Pantry,29-05-2023
Basil Pesto 125 g,20160074,67.99,0.12,Pantry,29-05-2023
Linguine Pasta 500 g,6009189404931,22.99,0.5,Pantry,29-05-2023
Light Meat Tuna Shredded with Vegetable Oil 170 g,6009195372309,27.99,0.17,Pantry,29-05-2023
Thompson Seedless Raisins 500 g,20024345,52.99,0.5,Pantry,29-05-2023
No Added Salt and Sugar Peanut Butter 400 g,6001009012685,41.99,0.4,Pantry,29-05-2023
Roasted and Salted Luxury Tree Nuts 500 g,6009211112452,229.99,0.5,Pantry,29-05-2023
Nestlé Full Cream Sweetened Condensed Milk 385 g,6001068311804,30.99,0.39,Pantry,29-05-2023
Cheese Flavoured Maize Snack 150 g,6009189680847,12.99,0.15,Pantry,29-05-2023
Smooth Peanut Butter 800 g,20204389,76.99,0.8,Pantry,29-05-2023
Chicken and Herb Flavoured Quicksticks Noodles 75 g,6009182678681,10.99,0.07,Pantry,29-05-2023
Asian Coconut Milk 400 ml,20175689,39.99,0.4,Pantry,29-05-2023
Kellogg's Coco Pops 350 g,6001306000576,55.99,0.35,Pantry,29-05-2023
Bulk Original Free Range Beef Droëwors 400 g,6008000282802,194.99,0.4,Pantry,29-05-2023
